Date,Price,Change,PercentChange,dummy,
2015/10/1,28.11,-4.01,-12.48443337,0,
2015/9/24,32.12,-1.14,-3.427540589,0,
2015/9/17,33.26,-1.39,-4.011544012,0,
2015/9/10,34.65,2.27,7.010500309,1,
2015/9/3,32.38,-0.12,-0.369230769,0,
2015/8/27,32.5,5.68,21.17822521,1,
2015/8/20,26.82,-3.63,-11.92118227,0,
2015/8/13,30.45,6.13,25.20559211,1,
2015/8/6,24.32,3.21,15.20606348,1,
2015/7/30,21.11,-11.43,-35.12599877,0,
2015/7/23,32.54,1.73,5.615060045,1,
2015/7/16,30.81,2.9,10.39054102,1,
2015/7/9,27.91,5.3,23.44095533,1,
2015/7/2,22.61,-12.95,-36.41732283,0,
2015/6/25,35.56,10.15,39.94490358,1,
2015/6/18,25.41,5.37,26.79640719,1,
2015/6/11,20.04,-7.3,-26.70080468,0,
2015/6/4,27.34,0.34,1.259259259,1,
2015/5/28,27,1.79,7.100357001,1,
2015/5/21,25.21,-1.53,-5.721765146,0,
2015/5/14,26.74,-0.32,-1.18255728,0,
2015/5/7,27.06,-3.78,-12.25680934,0,
2015/4/30,30.84,-0.63,-2.001906578,0,
2015/4/23,31.47,-0.6,-1.87090739,0,
2015/4/16,32.07,3.37,11.74216028,1,
2015/4/9,28.7,-6.7,-18.92655367,0,
2015/4/2,35.4,-3.03,-7.884465262,0,
2015/3/26,38.43,11.27,41.49484536,1,
2015/3/19,27.16,-4.44,-14.05063291,0,
2015/3/12,31.6,-8.2,-20.60301508,0,
2015/3/5,39.8,-5.57,-12.27683491,0,
2015/2/26,45.37,-1.65,-3.509145045,0,
2015/2/19,47.02,7.02,17.55,1,
2015/2/12,40,4.51,12.70780502,1,
2015/2/5,35.49,-8.68,-19.65134707,0,
2015/1/29,44.17,7.03,18.92837911,1,
2015/1/22,37.14,-8.97,-19.45348081,0,
2015/1/15,46.11,5.1,12.43599122,1,
2015/1/8,41.01,-10.73,-20.73830692,0,
2015/1/1,51.74,0.8,1.570475069,1,
2014/12/25,50.94,12.2,31.49199793,1,
2014/12/18,38.74,-6.28,-13.94935584,0,
2014/12/11,45.02,2.34,5.482661668,1,
2014/12/4,42.68,-9.47,-18.15915628,0,
2014/11/27,52.15,3.03,6.168566775,1,
2014/11/20,49.12,-8.81,-15.20800967,0,
2014/11/13,57.93,5.24,9.944961093,1,
2014/11/6,52.69,3.32,6.724731618,1,
2014/10/30,49.37,-0.32,-0.643992755,0,
2014/10/23,49.69,7.03,16.47913737,1,
2014/10/16,42.66,2.78,6.970912738,1,
2014/10/9,39.88,4.46,12.59175607,1,
2014/10/2,35.42,-6.42,-15.34416826,0,
2014/9/25,41.84,-0.4,-0.946969697,0,
2014/9/18,42.24,1.86,4.606240713,1,
2014/9/11,40.38,-4.29,-9.603760913,0,
2014/9/4,44.67,-7.25,-13.96379045,0,
2014/8/28,51.92,5.81,12.60030362,1,
2014/8/21,46.11,6.3,15.82516956,1,
2014/8/14,39.81,8.92,28.87665911,1,
2014/8/7,30.89,-0.23,-0.73907455,0,
2014/7/31,31.12,1.49,5.028687141,1,
2014/7/24,29.63,-2.73,-8.436341162,0,
2014/7/17,32.36,-5.28,-14.02763018,0,
2014/7/10,37.64,-0.87,-2.259153467,0,
2014/7/3,38.51,1.29,3.46587856,1,
2014/6/26,37.22,2.05,5.82883139,1,
2014/6/19,35.17,-9.52,-21.30230477,0,
2014/6/12,44.69,5.18,13.11060491,1,
2014/6/5,39.51,3.05,8.365331871,1,
2014/5/29,36.46,6.03,19.81597108,1,
2014/5/22,30.43,-2.69,-8.121980676,0,
2014/5/15,33.12,4.78,16.86661962,1,
2014/5/8,28.34,-1.43,-4.80349345,0,
2014/5/1,29.77,-4.73,-13.71014493,0,
2014/4/24,34.5,7.28,26.74504041,1,
2014/4/17,27.22,-1.26,-4.424157303,0,
2014/4/10,28.48,-6.88,-19.45701357,0,
2014/4/3,35.36,4.2,13.478819,1,
2014/3/27,31.16,-5.62,-15.2800435,0,
2014/3/20,36.78,-4.56,-11.03047896,0,
2014/3/13,41.34,0.83,2.048876821,1,
2014/3/6,40.51,0.82,2.06601159,1,
2014/2/27,39.69,-2.51,-5.947867299,0,
2014/2/20,42.2,2.05,5.105853051,1,
2014/2/13,40.15,12.25,43.90681004,1,
2014/2/6,27.9,-4.28,-13.30018645,0,
2014/1/30,32.18,-5.94,-15.58237146,0,
2014/1/23,38.12,-0.87,-2.23134137,0,
2014/1/16,38.99,-4.63,-10.61439707,0,
2014/1/9,43.62,0.53,1.229983755,1,
2014/1/2,43.09,-11.97,-21.73992009,0,
2013/12/26,55.06,7.6,16.01348504,1,
2013/12/19,47.46,6.19,14.99878847,1,
2013/12/12,41.27,-1.37,-3.212945591,0,
2013/12/5,42.64,-4.66,-9.852008457,0,
2013/11/28,47.3,12.91,37.53998255,1,
2013/11/21,34.39,-4.81,-12.27040816,0,
2013/11/14,39.2,-6.28,-13.80826737,0,
2013/11/7,45.48,0.51,1.134089393,1,
2013/10/31,44.97,-4.23,-8.597560976,0,
2013/10/24,49.2,2.92,6.309420916,1,
2013/10/17,46.28,4.95,11.97677232,1,
